Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.045264200,0,0,1,1,0,0,0,0
0.045283040,0,0,1,1,0,1,0,0
0.045312160,0,0,1,1,0,0,0,0
0.045427400,0,0,1,0,0,0,0,0
0.045429480,0,0,0,0,0,0,0,0
0.047979840,1,0,0,0,0,0,0,0
0.047987360,1,0,0,0,0,0,0,1
0.047992280,1,0,0,0,0,0,1,1
0.047995680,1,1,0,0,0,0,1,1
0.047996360,1,1,1,0,0,0,1,1
0.047999640,1,1,1,0,0,0,0,1
0.048071160,1,1,1,0,0,0,0,0
0.048084240,1,1,1,0,1,0,0,0
0.048101080,1,1,1,0,0,0,0,0
0.049165560,1,1,1,1,0,0,0,0
0.049178520,1,1,1,1,0,1,0,0
0.049207360,1,1,1,1,0,0,0,0
0.049350280,1,1,1,0,0,0,0,0
0.049351920,1,1,0,0,0,0,0,0
0.051979360,0,1,0,0,0,0,0,0
0.051986880,0,1,0,0,0,0,0,1
0.051991800,0,1,0,0,0,0,1,1
0.051995800,0,0,0,0,0,0,1,1
0.051996560,0,0,1,0,0,0,1,1
0.051999120,0,0,1,0,0,0,0,1
0.052071000,0,0,1,0,0,0,0,0
0.052084080,0,0,1,0,1,0,0,0
0.052100880,0,0,1,0,0,0,0,0
0.052876160,0,0,1,1,0,0,0,0
0.052894840,0,0,1,1,0,1,0,0
0.052923680,0,0,1,1,0,0,0,0
0.053065760,0,0,1,0,0,0,0,0
0.053067400,0,0,0,0,0,0,0,0
0.055986280,1,0,0,0,0,0,0,0
0.055993760,1,0,0,0,0,0,0,1
0.055998680,1,0,0,0,0,0,1,1
0.056003920,1,1,0,0,0,0,1,1
0.056004640,1,1,1,0,0,0,1,1
0.056006000,1,1,1,0,0,0,0,1
0.056077880,1,1,1,0,0,0,0,0
0.056090960,1,1,1,0,1,0,0,0
0.056107800,1,1,1,0,0,0,0,0
0.056884760,1,1,1,1,0,0,0,0
0.056901880,1,1,1,1,0,1,0,0
0.056930720,1,1,1,1,0,0,0,0
0.057058800,1,1,1,0,0,0,0,0
0.057059760,1,1,0,0,0,0,0,0
0.059983680,0,1,0,0,0,0,0,0
0.060001840,0,0,0,0,0,0,0,0
0.060002600,0,0,1,0,0,0,0,0
0.060009960,0,0,1,0,0,0,0,1
0.060014880,0,0,1,0,0,0,1,1
0.060022200,0,0,1,0,0,0,0,1
0.060093760,0,0,1,0,0,0,0,0
0.060106840,0,0,1,0,1,0,0,0
0.060123680,0,0,1,0,0,0,0,0
0.061054080,0,0,1,1,0,0,0,0
0.061070880,0,0,1,1,0,1,0,0
0.061099720,0,0,1,1,0,0,0,0
0.061267240,0,0,1,0,0,0,0,0
0.061269320,0,0,0,0,0,0,0,0
0.063985720,1,0,0,0,0,0,0,0
0.064002000,1,1,0,0,0,0,0,0
0.064002720,1,1,1,0,0,0,0,0
0.064011680,1,1,1,0,0,0,0,1
0.064016600,1,1,1,0,0,0,1,1
0.064023960,1,1,1,0,0,0,0,1
0.064095800,1,1,1,0,0,0,0,0
0.064108880,1,1,1,0,1,0,0,0
0.064125720,1,1,1,0,0,0,0,0
0.065225800,1,1,1,1,0,0,0,0
0.065244800,1,1,1,1,0,1,0,0
0.065273640,1,1,1,1,0,0,0,0
0.065397680,1,1,1,0,0,0,0,0
0.065398640,1,1,0,0,0,0,0,0
0.067980480,0,1,0,0,0,0,0,0
0.067997080,0,0,0,0,0,0,0,0
0.067997840,0,0,1,0,0,0,0,0
0.068017480,0,0,1,0,0,0,0,1
0.068022400,0,0,1,0,0,0,1,1
0.068029720,0,0,1,0,0,0,0,1
0.068101600,0,0,1,0,0,0,0,0
0.068114680,0,0,1,0,1,0,0,0
0.068131520,0,0,1,0,0,0,0,0
0.069260960,0,0,1,1,0,0,0,0
0.069278800,0,0,1,1,0,1,0,0
0.069307640,0,0,1,1,0,0,0,0
0.069484400,0,0,1,0,0,0,0,0
0.069486480,0,0,0,0,0,0,0,0
0.071981360,1,0,0,0,0,0,0,0
0.071995920,1,0,0,0,0,0,0,1
0.071996120,1,1,0,0,0,0,0,1
0.071996800,1,1,1,0,0,0,0,1
0.072000880,1,1,1,0,0,0,1,1
0.072008200,1,1,1,0,0,0,0,1
0.072079760,1,1,1,0,0,0,0,0
0.072092840,1,1,1,0,1,0,0,0
0.072109640,1,1,1,0,0,0,0,0
0.073270080,1,1,1,1,0,0,0,0
