Time [s],Channel 0,Channel 1
-0.916483760,0,1
-0.914485680,0,0
-0.912486720,0,1
-0.910488640,0,0
-0.908489680,0,1
-0.906491600,0,0
-0.904492640,0,1
-0.902494480,0,0
-0.900495520,0,1
-0.898497440,0,0
-0.896498480,0,1
-0.894500480,0,0
-0.892501520,0,1
-0.890503440,0,0
-0.888504480,0,1
-0.886506400,0,0
-0.884507440,0,1
-0.882509360,0,0
-0.880510400,0,1
-0.878512320,0,0
-0.876513360,0,1
-0.874515280,0,0
-0.872516320,0,1
-0.870518160,0,0
-0.868519200,0,1
-0.866521120,0,0
-0.864522160,0,1
-0.862524080,0,0
-0.860525200,0,1
-0.858527120,0,0
-0.856528160,0,1
-0.854530080,0,0
-0.852531120,0,1
-0.850533040,0,0
-0.848534080,0,1
-0.846536000,0,0
-0.844537040,0,1
-0.842538960,0,0
-0.840540000,0,1
-0.838541840,0,0
-0.836542880,0,1
-0.834544800,0,0
-0.832545840,0,1
-0.830547760,0,0
-0.828548800,0,1
-0.826550720,0,0
-0.824551760,0,1
-0.822553760,0,0
-0.820554800,0,1
-0.818556720,0,0
-0.816557760,0,1
-0.814559680,0,0
-0.812560720,0,1
-0.810562560,0,0
-0.808563600,0,1
-0.806565520,0,0
-0.804566560,0,1
-0.802565240,0,0
-0.800569520,0,1
-0.798571440,0,0
-0.796572480,0,1
-0.794574400,0,0
-0.792575440,0,1
-0.790577440,0,0
-0.788578480,0,1
-0.786580400,0,0
-0.784581440,0,1
-0.782583360,0,0
-0.780584400,0,1
-0.778586320,0,0
-0.776587360,0,1
-0.774589200,0,0
-0.772590280,0,1
-0.770592160,0,0
-0.768593240,0,1
-0.766595120,0,0
-0.764596200,0,1
-0.762598160,0,0
-0.760599200,0,1
-0.758601120,0,0
-0.756602160,0,1
-0.754604080,0,0
-0.752605120,0,1
-0.750607040,0,0
-0.748608080,0,1
-0.746610000,0,0
-0.744611040,0,1
-0.742612960,0,0
-0.740614000,0,1
-0.738615840,0,0
-0.736616920,0,1
-0.734618800,0,0
-0.732619880,0,1
-0.730621840,0,0
-0.728622880,0,1
-0.726624800,0,0
-0.724625840,0,1
-0.722627760,0,0
-0.720628800,0,1
-0.718630720,0,0
-0.716631760,0,1
-0.714633680,0,0
-0.712634720,0,1
-0.710636640,0,0
-0.708637680,0,1
-0.706639520,0,0
-0.704640600,0,1
-0.702642480,0,0
-0.700643560,0,1
-0.698645440,0,0
-0.696646520,0,1
-0.694648400,0,0
-0.692649480,0,1
-0.690651440,0,0
-0.688652480,0,1
-0.686654400,0,0
-0.684655440,0,1
-0.682657360,0,0
-0.680658400,0,1
-0.678660240,0,0
-0.676661320,0,1
-0.674659960,0,0
-0.672664280,0,1
-0.670666160,0,0
-0.668667240,0,1
-0.666669120,0,0
-0.664670200,0,1
-0.662672080,0,0
-0.660673160,0,1
-0.658675120,0,0
-0.656676160,0,1
-0.654678080,0,0
-0.652679120,0,1
-0.650681040,0,0
-0.648682080,0,1
-0.646683920,0,0
-0.644685000,0,1
-0.642686880,0,0
-0.640687960,0,1
-0.638689840,0,0
-0.636690920,0,1
-0.634692800,0,0
-0.632693880,0,1
-0.630695760,0,0
-0.628696840,0,1
-0.626698800,0,0
-0.624699840,0,1
-0.622701760,0,0
-0.620702800,0,1
-0.618704720,0,0
-0.616705760,0,1
-0.614707680,0,0
-0.612708720,0,1
-0.610710640,0,0
-0.608711680,0,1
-0.606713520,0,0
-0.604714600,0,1
-0.602716480,0,0
-0.600717560,0,1
-0.598719520,0,0
-0.596720560,0,1
-0.594722480,0,0
-0.592723520,0,1
-0.590725440,0,0
-0.588726480,0,1
-0.586728400,0,0
-0.584729440,0,1
-0.582731360,0,0
-0.580732400,0,1
-0.578734320,0,0
-0.576735360,0,1
-0.574737240,0,0
-0.572738280,0,1
-0.570740200,0,0
-0.568741240,0,1
-0.566743160,0,0
-0.564744200,0,1
-0.562746160,0,0
-0.560747200,0,1
-0.558749120,0,0
-0.556750160,0,1
-0.554752080,0,0
-0.552753120,0,1
-0.550755040,0,0
-0.548756080,0,1
-0.546754680,0,0
-0.544759040,0,1
-0.542760920,0,0
-0.540761960,0,1
-0.538763880,0,0
-0.536764920,0,1
-0.534766840,0,0
-0.532767880,0,1
-0.530769800,0,0
-0.528770840,0,1
-0.526772800,0,0
-0.524773840,0,1
-0.522775760,0,0
-0.520776800,0,1
-0.518778720,0,0
-0.516779800,0,1
-0.514781640,0,0
-0.512782680,0,1
-0.510784600,0,0
-0.508785640,0,1
-0.506787560,0,0
-0.504788600,0,1
-0.502790520,0,0
-0.500791560,0,1
-0.498793480,0,0
-0.496794520,0,1
-0.494796480,0,0
-0.492797560,0,1
-0.490799440,0,0
-0.488800520,0,1
-0.486802400,0,0
-0.484803480,0,1
-0.482805360,0,0
-0.480806440,0,1
-0.478808320,0,0
-0.476809320,0,1
-0.474811240,0,0
-0.472812280,0,1
-0.470814200,0,0
-0.468815240,0,1
-0.466817200,0,0
-0.464818280,0,1
-0.462820160,0,0
-0.460821240,0,1
-0.458823120,0,0
-0.456824200,0,1
-0.454826080,0,0
-0.452827160,0,1
-0.450829040,0,0
-0.448830120,0,1
-0.446832000,0,0
-0.444833080,0,1
-0.442834920,0,0
-0.440835960,0,1
-0.438837880,0,0
-0.436838920,0,1
-0.434840880,0,0
-0.432841960,0,1
-0.430843840,0,0
-0.428844920,0,1
-0.426846800,0,0
-0.424847880,0,1
-0.422849760,0,0
-0.420850840,0,1
