Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.055531200,1,1,1,0
0.055538820,1,1,0,0
0.055580020,1,1,1,0
0.055587620,1,1,0,0
0.055628720,1,1,1,0
0.055636440,1,1,0,0
0.057049440,0,1,0,0
0.057058420,0,0,0,0
0.057095840,0,0,0,1
0.057111820,0,0,0,0
0.057518940,0,0,1,0
0.057526560,0,0,0,0
0.057567720,0,0,1,0
0.057575300,0,0,0,0
0.057616460,0,0,1,0
0.057624200,0,0,0,0
0.059049760,1,0,0,0
0.059058800,1,1,0,0
0.059095400,1,1,0,1
0.059111400,1,1,0,0
0.059518380,1,1,1,0
0.059526000,1,1,0,0
0.059567080,1,1,1,0
0.059574680,1,1,0,0
0.059615900,1,1,1,0
0.059623640,1,1,0,0
0.061049360,0,1,0,0
0.061058360,0,0,0,0
0.061095720,0,0,0,1
0.061111700,0,0,0,0
0.061518460,0,0,1,0
0.061526060,0,0,0,0
0.061567220,0,0,1,0
0.061574820,0,0,0,0
0.061615980,0,0,1,0
0.061623700,0,0,0,0
0.063061980,1,0,0,0
0.063071120,1,1,0,0
0.063107840,1,1,0,1
0.063123840,1,1,0,0
0.063530900,1,1,1,0
0.063538500,1,1,0,0
0.063579720,1,1,1,0
0.063587320,1,1,0,0
0.063628420,1,1,1,0
0.063636140,1,1,0,0
0.065063580,0,1,0,0
0.065072560,0,0,0,0
0.065109840,0,0,0,1
0.065125840,0,0,0,0
0.065533020,0,0,1,0
0.065540620,0,0,0,0
0.065581780,0,0,1,0
0.065589380,0,0,0,0
0.065630600,0,0,1,0
0.065638340,0,0,0,0
0.067049100,1,0,0,0
0.067058240,1,1,0,0
0.067094780,1,1,0,1
0.067110780,1,1,0,0
0.067517720,1,1,1,0
0.067525320,1,1,0,0
0.067566420,1,1,1,0
0.067574000,1,1,0,0
0.067615220,1,1,1,0
0.067622960,1,1,0,0
0.069049340,0,1,0,0
0.069058320,0,0,0,0
0.069095660,0,0,0,1
0.069111660,0,0,0,0
0.069518520,0,0,1,0
0.069526140,0,0,0,0
0.069567220,0,0,1,0
0.069574820,0,0,0,0
0.069615980,0,0,1,0
0.069623720,0,0,0,0
0.071049460,1,0,0,0
0.071058560,1,1,0,0
0.071100100,1,1,0,1
0.071116100,1,1,0,0
0.071522920,1,1,1,0
0.071530520,1,1,0,0
0.071571680,1,1,1,0
0.071579260,1,1,0,0
0.071620480,1,1,1,0
0.071628220,1,1,0,0
0.073049360,0,1,0,0
0.073058380,0,0,0,0
0.073095800,0,0,0,1
0.073111780,0,0,0,0
0.073518840,0,0,1,0
0.073526460,0,0,0,0
0.073567620,0,0,1,0
0.073575200,0,0,0,0
0.073616360,0,0,1,0
0.073624100,0,0,0,0
0.075059800,1,0,0,0
0.075068820,1,1,0,0
0.075105540,1,1,0,1
0.075121540,1,1,0,0
0.075528360,1,1,1,0
0.075535960,1,1,0,0
0.075577180,1,1,1,0
0.075584780,1,1,0,0
0.075625860,1,1,1,0
0.075633600,1,1,0,0
0.077060620,0,1,0,0
0.077069640,0,0,0,0
0.077107120,0,0,0,1
0.077123100,0,0,0,0
0.077529920,0,0,1,0
0.077537520,0,0,0,0
0.077578680,0,0,1,0
0.077586280,0,0,0,0
0.077627500,0,0,1,0
0.077635220,0,0,0,0
0.079049360,1,0,0,0
0.079058500,1,1,0,0
0.079095240,1,1,0,1
0.079111240,1,1,0,0
0.079518300,1,1,1,0
0.079525900,1,1,0,0
0.079567120,1,1,1,0
0.079574720,1,1,0,0
0.079615800,1,1,1,0
0.079623540,1,1,0,0
0.081048960,0,1,0,0
0.081057960,0,0,0,0
0.081095240,0,0,0,1
0.081111240,0,0,0,0
0.081518300,0,0,1,0
0.081525920,0,0,0,0
0.081567000,0,0,1,0
0.081574600,0,0,0,0
0.081615820,0,0,1,0
0.081623540,0,0,0,0
0.083049220,1,0,0,0
0.083058320,1,1,0,0
0.083095060,1,1,0,1
0.083111040,1,1,0,0
0.083518240,1,1,1,0
0.083525860,1,1,0,0
0.083566940,1,1,1,0
0.083574540,1,1,0,0
0.083615680,1,1,1,0
0.083623420,1,1,0,0
0.085060160,0,1,0,0
0.085069220,0,0,0,0
0.085106560,0,0,0,1
0.085122560,0,0,0,0
0.085529500,0,0,1,0
0.085537100,0,0,0,0
0.085578320,0,0,1,0
0.085585920,0,0,0,0
0.085627000,0,0,1,0
0.085634740,0,0,0,0
0.087062540,1,0,0,0
0.087071580,1,1,0,0
0.087108380,1,1,0,1
0.087124380,1,1,0,0
0.087531300,1,1,1,0
0.087538920,1,1,0,0
0.087580000,1,1,1,0
0.087587600,1,1,0,0
0.087628820,1,1,1,0
0.087636560,1,1,0,0
0.089063940,0,1,0,0
0.089072920,0,0,0,0
0.089110380,0,0,0,1
0.089126380,0,0,0,0
