Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.041675650,0,0,0,0,1,0
0.041682275,0,0,1,0,1,0
0.041711225,0,0,0,0,1,0
0.041744325,1,0,0,0,1,0
0.041760050,0,0,0,0,1,0
0.041940975,0,0,0,0,0,0
0.043456650,0,0,0,0,1,0
0.043465900,0,0,0,1,1,0
0.043509375,0,0,0,1,1,1
0.043531075,0,0,0,1,1,0
0.043686100,0,1,0,1,1,0
0.043700425,0,0,0,1,1,0
0.043706800,0,0,1,1,1,0
0.043735750,0,0,0,1,1,0
0.043769100,1,0,0,1,1,0
0.043784825,0,0,0,1,1,0
0.043965525,0,0,0,1,0,0
0.045481425,0,0,0,1,1,0
0.045490425,0,0,0,0,1,0
0.045534250,0,0,0,0,1,1
0.045555975,0,0,0,0,1,0
0.045711175,0,1,0,0,1,0
0.045725500,0,0,0,0,1,0
0.045732125,0,0,1,0,1,0
0.045761075,0,0,0,0,1,0
0.045793850,1,0,0,0,1,0
0.045809600,0,0,0,0,1,0
0.045990250,0,0,0,0,0,0
0.047503325,0,0,0,0,1,0
0.047512575,0,0,0,1,1,0
0.047556025,0,0,0,1,1,1
0.047577750,0,0,0,1,1,0
0.047732825,0,1,0,1,1,0
0.047747150,0,0,0,1,1,0
0.047753825,0,0,1,1,1,0
0.047782775,0,0,0,1,1,0
0.047816125,1,0,0,1,1,0
0.047831875,0,0,0,1,1,0
0.048012675,0,0,0,1,0,0
0.049431700,0,0,0,1,1,0
0.049440675,0,0,0,0,1,0
0.049484525,0,0,0,0,1,1
0.049506250,0,0,0,0,1,0
0.049661400,0,1,0,0,1,0
0.049675725,0,0,0,0,1,0
0.049688025,0,0,1,0,1,0
0.049716975,0,0,0,0,1,0
0.049743900,1,0,0,0,1,0
0.049759625,0,0,0,0,1,0
0.049940525,0,0,0,0,0,0
0.051454250,0,0,0,0,1,0
0.051463500,0,0,0,1,1,0
0.051506975,0,0,0,1,1,1
0.051528675,0,0,0,1,1,0
0.051683800,0,1,0,1,1,0
0.051698125,0,0,0,1,1,0
0.051704800,0,0,1,1,1,0
0.051739825,0,0,0,1,1,0
0.051766725,1,0,0,1,1,0
0.051782450,0,0,0,1,1,0
0.051970150,0,0,0,1,0,0
0.053483325,0,0,0,1,1,0
0.053492300,0,0,0,0,1,0
0.053536150,0,0,0,0,1,1
0.053557875,0,0,0,0,1,0
0.053712950,0,1,0,0,1,0
0.053727275,0,0,0,0,1,0
0.053733525,0,0,1,0,1,0
0.053768525,0,0,0,0,1,0
0.053795875,1,0,0,0,1,0
0.053811600,0,0,0,0,1,0
0.053992475,0,0,0,0,0,0
0.055507150,0,0,0,0,1,0
0.055516400,0,0,0,1,1,0
0.055559875,0,0,0,1,1,1
0.055581600,0,0,0,1,1,0
0.055736725,0,1,0,1,1,0
0.055751050,0,0,0,1,1,0
0.055757725,0,0,1,1,1,0
0.055786675,0,0,0,1,1,0
0.055822475,1,0,0,1,1,0
0.055838200,0,0,0,1,1,0
0.056019075,0,0,0,1,0,0
0.057431575,0,0,0,1,1,0
0.057440550,0,0,0,0,1,0
0.057484400,0,0,0,0,1,1
0.057506100,0,0,0,0,1,0
0.057661175,0,1,0,0,1,0
0.057675500,0,0,0,0,1,0
0.057682125,0,0,1,0,1,0
0.057711075,0,0,0,0,1,0
